"Alcohol Level (ABV)","Winery","Name","Vintage","Country","Region","Colour of Wine","Blend","Grape Types","Ratings","Number of Ratings","Price","Body (Light-Bold)","Tannins (Smooth-Tannic)","Sweetness (Dry-Sweet)","Acidity (Soft-Acidic)","Description","Flavor Notes","Food Pairings","Wine Tastes"
"15.0","Château Martet","Réserve de Famille","2020","France","Bordeaux","Red wine","Merlot","Merlot","4.5","332","39.99","20.0","20.0","20.0","20.0","This exceptional vintage offers collectors and Bordeaux lovers a chance to bring home a wine that not only matches but can even surpass these icons.Château Martet’s Réserve de Famille has captivated Bordeaux fans. This 2020 vintage embodies the refined power, depth, and structure that define the best of Bordeaux’s right bank, showing layered flavors of black cherry, plum, and delicate earthy notes with a hint of spice.Vivino reviewer Dan D. describes it as “my perfect wine…Beautiful ruby color…velvety smooth tannins. Absolutely easy to drink on its own but it begs for some meat and cheese.” Another fan, Richard S., calls it a “fantastic purchase from Saint-Émilion…a great vintner who has even beaten Lafite in blind tastings.”Handcrafted by the skilled team at Château Martet, this Bordeaux gem combines traditional winemaking with a focus on terroir. Its roots close to Saint-Émilion and Pomerol lend it a finesse and opulence that stands up to Bordeaux’s elite. But unlike those high-priced neighbors, Château Martet’s family reserve offers an incredible experience without the premium cost.read more","oak, vanilla, chocolate | 446mentions ofoakynotes; plum, dark fruit, black... | 270mentions ofblack fruitnotes; leather, earthy, smoke | 210mentions ofearthynotes; cherry, red fruit, rasp... | 90mentions ofred fruitnotes; pepper, cinnamon, mint | 67mentions ofspicesnotes; prune, raisin, dried fr... | 25mentions ofdried fruitnotes; toast, almond, nutty | 15mentions ofageingnotes; cheese, cream, oil | 13mentions ofyeastynotes; violet, perfume, lavend... | 12mentions offloralnotes; straw | 1mentions ofvegetalnotes; stone fruit | 1mentions oftree fruitnotes; lemon | 1mentions ofcitrusnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 446mentions ofoakynotes; plum, dark fruit, black... | 270mentions ofblack fruitnotes; leather, earthy, smoke | 210mentions ofearthynotes; cherry, red fruit, rasp... | 90mentions ofred fruitnotes; pepper, cinnamon, mint | 67mentions ofspicesnotes; prune, raisin, dried fr... | 25mentions ofdried fruitnotes; toast, almond, nutty | 15mentions ofageingnotes; cheese, cream, oil | 13mentions ofyeastynotes; violet, perfume, lavend... | 12mentions offloralnotes; straw | 1mentions ofvegetalnotes; stone fruit | 1mentions oftree fruitnotes; lemon | 1mentions ofcitrusnotes"
"14.5","Gitana","Lupi Rezerva","2017","Moldova","Moldova","Red wine","Blend","Merlot, Cabernet Sauvignon, Saperavi","4.5","1854","39.99","","","","","Crafted by renowned winemaker, Niccolo Tucci Winemaker from Ferrari Trento (Italy), this powerful red, planted 25 years ago to Cabernet, Merlot and the local Seperavi has become a cult status in Europe where it takes first place for Bordeaux Blend from Eastern Europe.Vivino users cannot say enough about this wine:✔️”Lives up to the hype.”- Karl S. (4.5 ★)✔️”Gorgeous benchmark lvl red blend”Roman A. (4.6 ★)✔️”Wow! One of the best wines I ever tasted if not the best! Just perfect! Beautiful deep red colour, powerful nose with cherry cassis and red fruits. Bold and powerful in the mouth - a tiny sip stays a minute in the mouth. Notes of red fruit cherry and cassis on the palate. A taste bomb. Simply amazing!”- WS (4.7 ★)Don’t wait, because you don’t know when you’ll have another chance at this extremely unique blend. With over 1600+ 4.0 ★ and 5.0 ★ reviews…That’s all the proof you need!read more","oak, vanilla, chocolate | 701mentions ofoakynotes; plum, blackberry, black... | 480mentions ofblack fruitnotes; leather, smoke, earthy | 197mentions ofearthynotes; cherry, red fruit, stra... | 192mentions ofred fruitnotes; pepper, cinnamon, licor... | 139mentions ofspicesnotes; prune, fig, raisin | 27mentions ofdried fruitnotes; cheese, oil, cream | 23mentions ofyeastynotes; violet, lavender, lilac | 20mentions offloralnotes; walnut, almond, nutty | 16mentions ofageingnotes; apple, pear, peach | 12mentions oftree fruitnotes; tomato, bell pepper, gr... | 6mentions ofvegetalnotes; citrus, tangerine, marm... | 4mentions ofcitrusnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 701mentions ofoakynotes; plum, blackberry, black... | 480mentions ofblack fruitnotes; leather, smoke, earthy | 197mentions ofearthynotes; cherry, red fruit, stra... | 192mentions ofred fruitnotes; pepper, cinnamon, licor... | 139mentions ofspicesnotes; prune, fig, raisin | 27mentions ofdried fruitnotes; cheese, oil, cream | 23mentions ofyeastynotes; violet, lavender, lilac | 20mentions offloralnotes; walnut, almond, nutty | 16mentions ofageingnotes; apple, pear, peach | 12mentions oftree fruitnotes; tomato, bell pepper, gr... | 6mentions ofvegetalnotes; citrus, tangerine, marm... | 4mentions ofcitrusnotes"
"14.5","Viña Cobos","Vinculum Malbec","2018","Argentina","Mendoza","Red wine","Malbec","Unknown Grape Types","4.5","1920","69.99","20.0","20.0","20.0","20.0","No Description Available","oak, chocolate, vanilla | 51mentions ofoakynotes; black fruit, blackberry... | 35mentions ofblack fruitnotes; cherry, strawberry, red... | 19mentions ofred fruitnotes; smoke, graphite, leathe... | 9mentions ofearthynotes; pepper, licorice, mint | 8mentions ofspicesnotes; violet, perfume | 5mentions offloralnotes","Beef, Veal, Poultry, Game","oak, chocolate, vanilla | 51mentions ofoakynotes; black fruit, blackberry... | 35mentions ofblack fruitnotes; cherry, strawberry, red... | 19mentions ofred fruitnotes; smoke, graphite, leathe... | 9mentions ofearthynotes; pepper, licorice, mint | 8mentions ofspicesnotes; violet, perfume | 5mentions offloralnotes"
"16.0","Bodegas Ateca","Atteca Armas Garnacha Old Vines","2021","Spain","Calatayud","Red wine","Garnacha","Garnacha","4.4","130","0.0","20.0","20.0","20.0","20.0","No Description Available","vanilla, oak, chocolate | 155mentions ofoakynotes; blackberry, plum, dark ... | 132mentions ofblack fruitnotes; cherry, raspberry, red ... | 66mentions ofred fruitnotes; earthy, smoke, leather | 47mentions ofearthynotes; pepper, licorice, cinna... | 40mentions ofspicesnotes; cheese, cream | 10mentions ofyeastynotes; raisin, prune, fig | 10mentions ofdried fruitnotes; toast, almond, walnut | 5mentions ofageingnotes; marmalade, orange zest,... | 3mentions ofcitrusnotes; hay | 1mentions ofvegetalnotes; violet | 1mentions offloralnotes; apple | 1mentions oftree fruitnotes; pineapple | 1mentions oftropicalnotes","Beef, Veal, Poultry, Game","vanilla, oak, chocolate | 155mentions ofoakynotes; blackberry, plum, dark ... | 132mentions ofblack fruitnotes; cherry, raspberry, red ... | 66mentions ofred fruitnotes; earthy, smoke, leather | 47mentions ofearthynotes; pepper, licorice, cinna... | 40mentions ofspicesnotes; cheese, cream | 10mentions ofyeastynotes; raisin, prune, fig | 10mentions ofdried fruitnotes; toast, almond, walnut | 5mentions ofageingnotes; marmalade, orange zest,... | 3mentions ofcitrusnotes; hay | 1mentions ofvegetalnotes; violet | 1mentions offloralnotes; apple | 1mentions oftree fruitnotes; pineapple | 1mentions oftropicalnotes"
"14.5","Gitana","Saperavi","2018","Moldova","Moldova","Red wine","Saperavi","Saperavi","4.5","1566","39.99","","","","","Ready to embark on a wine adventure? Look no further than the Gitana Saperavi 2018. This Moldovan wine is a revelation,earning a stellar rating on Vivino from over 1500 satisfied drinkers.Saperavi, one of the world's oldest wine grape varieties, is known for producing bold, tannic wines with deep color and complex flavors. This Moldovan expression showcases the grape's potential, offering a unique and exciting drinking experience.As Vivino reviewer Adina B. notes, ""Great surprise, surprisingly fruity in nose and smell. Red fruit, plum, black cherry, medium-string tannins, beautiful balance. Loved it. Great price for the quality.""If you're a fan of bold, full-bodied reds like Cabernet Sauvignon or Shiraz, you'll appreciate the rich, dark fruit flavors and firm tannins of Saperavi. But with Gitana Saperavi, you're getting a taste of history and a unique terroir that sets it apart from traditional varietals.So, if you're ready to throw on that explorer jacket and discover a new wine world, the time is now. Order your bottle of Gitana Saperavi 2018 and embark on a flavor journey.read more","black cherry, plum, bla... | 418mentions ofblack fruitnotes; chocolate, vanilla, oak | 325mentions ofoakynotes; pepper, licorice, junip... | 198mentions ofspicesnotes; cherry, red fruit, cran... | 161mentions ofred fruitnotes; leather, smoke, cocoa | 105mentions ofearthynotes; prune, fig, raisin | 29mentions ofdried fruitnotes; cream, cheese, yeast | 21mentions ofyeastynotes; violet, geranium, potpo... | 13mentions offloralnotes; tomato leaf, green bell... | 10mentions ofvegetalnotes; citrus, grapefruit, ora... | 7mentions ofcitrusnotes; brown sugar, toast, mar... | 4mentions ofageingnotes; apricot, pear | 2mentions oftree fruitnotes","Beef, Veal, Poultry, Game","black cherry, plum, bla... | 418mentions ofblack fruitnotes; chocolate, vanilla, oak | 325mentions ofoakynotes; pepper, licorice, junip... | 198mentions ofspicesnotes; cherry, red fruit, cran... | 161mentions ofred fruitnotes; leather, smoke, cocoa | 105mentions ofearthynotes; prune, fig, raisin | 29mentions ofdried fruitnotes; cream, cheese, yeast | 21mentions ofyeastynotes; violet, geranium, potpo... | 13mentions offloralnotes; tomato leaf, green bell... | 10mentions ofvegetalnotes; citrus, grapefruit, ora... | 7mentions ofcitrusnotes; brown sugar, toast, mar... | 4mentions ofageingnotes; apricot, pear | 2mentions oftree fruitnotes"
"11.0","La Marca","Prosecco","Unknown Vintage","Italy","Prosecco","Sparkling wine","Glera","Unknown Grape Types","3.8","33172","14.99","20.0","","","20.0","No Description Available","apple, green apple, pea... | 2904 mentions oftree fruitnotes; citrus, lemon, grapefru... | 1654 mentions ofcitrusnotes; honey, minerals, stone | 749 mentions ofearthynotes; cream, yeast, cheese | 250 mentions ofyeastynotes; honeysuckle, elderflowe... | 231 mentions offloralnotes; toast, brioche, biscuit | 166 mentions ofageingnotes; straw, grass, gooseberr... | 141 mentions ofvegetalnotes; pineapple, tropical, ma... | 127 mentions oftropicalnotes; butter, vanilla, oak | 108 mentions ofoakynotes; strawberry, cranberry, ... | 105 mentions ofred fruitnotes; savory, pepper, cinnamo... | 40 mentions ofspicesnotes; blueberry, plum, blackb... | 25 mentions ofblack fruitnotes; raisin, golden raisin, ... | 14 mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","apple, green apple, pea... | 2904 mentions oftree fruitnotes; citrus, lemon, grapefru... | 1654 mentions ofcitrusnotes; honey, minerals, stone | 749 mentions ofearthynotes; cream, yeast, cheese | 250 mentions ofyeastynotes; honeysuckle, elderflowe... | 231 mentions offloralnotes; toast, brioche, biscuit | 166 mentions ofageingnotes; straw, grass, gooseberr... | 141 mentions ofvegetalnotes; pineapple, tropical, ma... | 127 mentions oftropicalnotes; butter, vanilla, oak | 108 mentions ofoakynotes; strawberry, cranberry, ... | 105 mentions ofred fruitnotes; savory, pepper, cinnamo... | 40 mentions ofspicesnotes; blueberry, plum, blackb... | 25 mentions ofblack fruitnotes; raisin, golden raisin, ... | 14 mentions ofdried fruitnotes"
"14.5","Terre Nere Campigli Vallone","Brunello di Montalcino","2017","Italy","Brunello di Montalcino","Red wine","Sangiovese","Sangiovese","4.1","106","39.99","20.0","20.0","20.0","20.0","No Description Available","leather, earthy, smoke | 96mentions ofearthynotes; cherry, raspberry, stra... | 92mentions ofred fruitnotes; tobacco, oak, vanilla | 82mentions ofoakynotes; plum, black cherry, dar... | 62mentions ofblack fruitnotes; pepper, licorice, cinna... | 30mentions ofspicesnotes; violet, potpourri, rose... | 9mentions offloralnotes; prune, fig, raisin | 7mentions ofdried fruitnotes; toast, dried fig, maple... | 5mentions ofageingnotes; tomato, sun-dried tomat... | 5mentions ofvegetalnotes; cream, oil, cheese | 5mentions ofyeastynotes; stone fruit | 1mentions oftree fruitnotes; orange zest | 1mentions ofcitrusnotes","Beef, Veal, Poultry, Game","leather, earthy, smoke | 96mentions ofearthynotes; cherry, raspberry, stra... | 92mentions ofred fruitnotes; tobacco, oak, vanilla | 82mentions ofoakynotes; plum, black cherry, dar... | 62mentions ofblack fruitnotes; pepper, licorice, cinna... | 30mentions ofspicesnotes; violet, potpourri, rose... | 9mentions offloralnotes; prune, fig, raisin | 7mentions ofdried fruitnotes; toast, dried fig, maple... | 5mentions ofageingnotes; tomato, sun-dried tomat... | 5mentions ofvegetalnotes; cream, oil, cheese | 5mentions ofyeastynotes; stone fruit | 1mentions oftree fruitnotes; orange zest | 1mentions ofcitrusnotes"
"14.0","Antinori","Castello della Sala Cervaro della Sala","2022","Italy","Umbria","White wine","Chardonnay","Chardonnay","4.4","1026","69.99","20.0","","20.0","20.0","No Description Available","oak, butter, vanilla | 2379mentions ofoakynotes; pear, peach, apple | 1285mentions oftree fruitnotes; minerals, honey, stone | 1023mentions ofearthynotes; citrus, lemon, grapefru... | 872mentions ofcitrusnotes; cream, oil, cheese | 412mentions ofyeastynotes; nutty, hazelnut, toast | 377mentions ofageingnotes; tropical, pineapple, ma... | 358mentions oftropicalnotes; straw, chard, grass | 162mentions ofvegetalnotes; acacia, honeysuckle, ch... | 103mentions offloralnotes; savory, cinnamon, white... | 77mentions ofspicesnotes; dried apricot, dried ma... | 20mentions ofdried fruitnotes; plum, jam, blackberry | 9mentions ofblack fruitnotes; red fruit, pomegranate,... | 6mentions ofred fruitnotes","Beef, Veal, Poultry, Game","oak, butter, vanilla | 2379mentions ofoakynotes; pear, peach, apple | 1285mentions oftree fruitnotes; minerals, honey, stone | 1023mentions ofearthynotes; citrus, lemon, grapefru... | 872mentions ofcitrusnotes; cream, oil, cheese | 412mentions ofyeastynotes; nutty, hazelnut, toast | 377mentions ofageingnotes; tropical, pineapple, ma... | 358mentions oftropicalnotes; straw, chard, grass | 162mentions ofvegetalnotes; acacia, honeysuckle, ch... | 103mentions offloralnotes; savory, cinnamon, white... | 77mentions ofspicesnotes; dried apricot, dried ma... | 20mentions ofdried fruitnotes; plum, jam, blackberry | 9mentions ofblack fruitnotes; red fruit, pomegranate,... | 6mentions ofred fruitnotes"
"51.0","Sebio","Village","2021","Spain","Galicia","White wine","Blend","Albariño, Treixadura","4.2","95","30.38","20.0","","20.0","20.0","No Description Available","pear, melon, green appl... | 7mentions oftree fruitnotes; minerals, saline, stone | 4mentions ofearthynotes; lemon | 3mentions ofcitrusnotes; butter, oak | 2mentions ofoakynotes; gooseberry, hay | 2mentions ofvegetalnotes; banana | 1mentions ofyeastynotes; pineapple | 1mentions oftropicalnotes; chamomile | 1mentions offloralnotes","Beef, Veal, Poultry, Game","pear, melon, green appl... | 7mentions oftree fruitnotes; minerals, saline, stone | 4mentions ofearthynotes; lemon | 3mentions ofcitrusnotes; butter, oak | 2mentions ofoakynotes; gooseberry, hay | 2mentions ofvegetalnotes; banana | 1mentions ofyeastynotes; pineapple | 1mentions oftropicalnotes; chamomile | 1mentions offloralnotes"
"14.0","Fabio Cordella","Mesciu Ttàu Salice Salentino Rosato","2022","Italy","Salice Salentino","Rosé wine","Negroamaro","Negroamaro","4.5","0","24.99","20.0","","20.0","20.0","No Description Available","No Flavor Notes","Beef, Veal, Poultry, Game","No Wine Tastes"
